SNID	SEARCH_PEAKMJD	REDSHIFT_CMB	REDSHIFT_CMB_ERR
2021frk	59298.075083601674	0.1332868314608	0.005
2021fwm	59302.770984289135	0.07130576017274826	0.005
2021gba	59300.32197736758	0.10085457551324084	0.005
2021gcv	59294.96307454739	0.13177300420153104	0.005
2021gfv	59290.700368877864	0.11145875933965121	0.005
2021gqc	59303.5181306929	0.047675391343197315	0.005
2021gyh	59303.735847147866	0.08117424745967083	0.005
2021hca	59308.33927917883	0.13129925999052805	0.005
2021hem	59317.22402239502	0.035226474887540826	0.005
2021hlp	59309.53658120312	0.06629494248515844	0.005
2021hol	59310.168265362736	0.0845881538236477	0.005
2021idh	59316.52785287563	0.0963134764010849	0.005
2021iok	59319.329688808175	0.12872986542793563	0.005
2021itd	59325.73865882714	0.0814629998304437	0.005
2021iuk	59319.73833926696	0.0812257422679219	0.005
2021iyr	59325.12758784918	0.10920944570062807	0.005
2021jkd	59323.695835343446	0.07756495719072465	0.005
2021jze	59331.410817715965	0.04835834930140903	0.005
2021jzf	59332.753768210445	0.07623328592315981	0.005
2021kbj	59334.52997140896	0.1303443195599825	0.005
2021kfy	59330.50574012247	0.15106084694576838	0.005
2021khl	59331.33410032587	0.06316962833596951	0.005
2021kwa	59340.044786378465	0.08619273426935226	0.005
2021kyp	59342.82349960724	0.12086878126239187	0.005
2021ljb	59350.78732462545	0.12228866327438048	0.005
2021log	59349.342634818095	0.1425954419040023	0.005
2021low	59360.06535554092	0.02311022683024966	0.005
2021lta	59353.944267089704	0.1001537839733182	0.005
2021luu	59353.88613018391	0.10023142702258903	0.005
2021lxb	59356.39975155235	0.02681019631656345	0.005
2021lzc	59355.358923718624	0.10070234475181339	0.005
2021mfy	59359.994963676836	0.08818963581168049	0.005
2021mgd	59357.345733334994	0.11120021520929613	0.005
2021mim	59361.3789716223	0.03856747395917992	0.005
2021mwb	59369.11655743542	0.043188767079525014	0.005
2021nlj	59370.24026871191	0.09023786249335819	0.005
2021nsh	59369.22266342519	0.08170416648129875	0.005
2021nsi	59367.726117070735	0.12882862340712942	0.005
2021nyt	59376.21953307259	0.06467152593315961	0.005
2021oal	59374.68434466128	0.09818882562250142	0.005
2021oat	59375.969717743275	0.023409409780621893	0.005
2021oaw	59375.1878448961	0.08532863443129068	0.005
2021oez	59380.133740086814	0.039741834208147475	0.005
2021ofq	59380.63493220966	0.12073255093215862	0.005
2021ojn	59382.47257248545	0.08048841386546757	0.005
2021orm	59377.64342126255	0.0744089022535741	0.005
2021pbf	59383.37946099812	0.07076781854075187	0.005
2021pby	59384.121420243995	0.02885578791238097	0.005
2021pci	59382.698451107746	0.07052684669086418	0.005
2021pde	59383.27798521534	0.04999424821546383	0.005
2021pl	59222.766874224384	0.07500765709003088	0.005
2021qas	59378.101376402396	0.08875264160584728	0.005
2021qqo	59393.4981661105	0.02455010225103882	0.005
2021qve	59399.361335211295	0.035385986121221125	0.005
2021qvo	59400.842384898075	0.048753473243408285	0.005
2021qxq	59400.52842230211	0.08889525538898013	0.005
2021qxr	59397.47183335966	0.09121122822768246	0.005
2021qxu	59403.07270637198	0.036814775249514264	0.005
2021rdf	59403.99501016575	0.10770927028637511	0.005
2021rgs	59393.41370273079	0.0651854781567871	0.005
2021ryz	59415.090870068525	0.02222970286988568	0.005
2021sbc	59411.789180146654	0.09882761230698045	0.005
2021sld	59408.6290205056	0.10474598559956094	0.005
2021sun	59412.600751926446	0.03502780866889377	0.005
2021sve	59414.228430347364	0.05436908241849481	0.005
2021tks	59420.27524655295	0.06373619853399992	0.005
2021tol	59418.846903317295	0.03892168757639203	0.005
2021tsj	59420.17246473204	0.07729146442141532	0.005
2021tup	59419.05467888386	0.11865814860963564	0.005
2021uhl	59428.64010666173	0.07390930949384988	0.005
2021ukp	59434.18397946578	0.14033430437030914	0.005
2021uou	59435.71393287461	0.13916019204583874	0.005
2021us	59232.93540706239	0.06817159901182679	0.005
2021uyq	59438.04337137389	0.07972400109353472	0.005
2021vaw	59441.87296555305	0.10871285595874292	0.005
2021vcz	59441.7359543771	0.10668217909451694	0.005
2021vku	59444.50765441887	0.09577652790034219	0.005
2021vmm	59441.584422613225	0.10068928000372046	0.005
2021vri	59441.47223648256	0.10109769767147525	0.005
2021vtq	59458.25800985764	0.019785666099181087	0.005
2021vym	59447.149227205846	0.07488939920664461	0.005
2021wfg	59455.45071460019	0.0777745400988592	0.005
2021wfn	59448.40606179741	0.08871771685996355	0.005
2021wrt	59450.44969021748	0.08025730532420994	0.005
2021wue	59459.58927239768	0.07886478880058645	0.005
2021xkm	59471.170739779285	0.05128325001890932	0.005
2021xvu	59452.27948101274	0.10181807917189944	0.005
2021yab	59465.51344414668	0.09885470429125398	0.005
2021zep	59488.261835307945	0.08897002577614099	0.005
2021zfw	59482.990925030805	0.026851648089799784	0.005
2021zqa	59481.05238204646	0.11870195295335795	0.005
2021zri	59498.44475134968	0.04173094256018328	0.005
